AR Ref Nbr,Days Past Due,Aging Bucket,AR Doc Type,PF Ref Nbr,Post Date,Status,Terms,Due Date,Amount,Retainage,Open Balance,Unreleased Retainage,Released Retainage,Date Payment Received,Branch ID,Branch,Customer ID,Customer Name,Sales Rep,Service,Warranty,Project ID,Project Start Date,Project Stage,Billing Stage,Substantial Completion Date,Project Site Address 1,Project Site Address 2,Project Site City,Project Site State,Project Site Zip Code,Site = Default Billing,Billing Email,Customer Default Payment Type,Parent Account ID,Retainage Document,Billing Address 1,Billing Address 2,Billing City,Billing State,Billing Zip Code,Invoice Created By
AR003878,,,Invoice,PF001689,08/15/2025,Open,NET30,09/14/2025,"1,274.05",0.00,"1,274.05",0.00,0.00,,11100,"Milwaukee, WI",BA002301,161863 Bear Property Management,Brian Gallagher,TRUE,,PR00051839,08/05/2025,Complete/Job Ready to Cost,Billed in Full,,"5901 75th Street Suite. 110 Kenosha, WI 53142",,Kenosha,WI,53142,TRUE,ap@bearproperty.com,CHECK,,FALSE,4015 80th St,,Kenosha,WI,53142,Khary Penebaker
AR003876,,,Invoice,PF001687,08/15/2025,Open,NET60,10/14/2025,"1,057.69",0.00,"1,057.69",0.00,0.00,,11100,"Milwaukee, WI",BA002066,161996 National Roofing Partners,Khary Penebaker,,,PR00051238,06/06/2025,Complete/Job Ready to Cost,Billed in Full,,"108 New Era Dr South Plainfield, NJ 07080 USA",,South Plainfield,NJ,7080,TRUE,accounting@rlnrp.com,FEDWIRE,,FALSE,621 TX-121 #400,,Coppell,TX,75019,Khary Penebaker
AR003873,,,Invoice,PF001684,08/15/2025,Open,NET60,10/14/2025,"1,528.74",0.00,"1,528.74",0.00,0.00,,11100,"Milwaukee, WI",BA002066,161996 National Roofing Partners,Khary Penebaker,,,PR00051302,06/11/2025,Complete/Job Ready to Cost,Billed in Full,,"975 East Linden Ave Linden, NJ 07036 USA",,Linden,NJ,7036,TRUE,accounting@rlnrp.com,FEDWIRE,,FALSE,621 TX-121 #400,,Coppell,TX,75019,Khary Penebaker
AR003870,,,Invoice,PF001681,08/15/2025,Open,RECEIPT,08/15/2025,500.00,0.00,500.00,0.00,0.00,,11125,RRA National LLC,BA004906,NA Pegnato Roofing Intelligence Netwo,Khary Penebaker,TRUE,,PR00051864,08/07/2025,Complete/Job Ready to Cost,Billed in Full,," 2811 18th St, NXS#007037-010042 Kenosha, WI 30101",,Kenosha,WI,30101,TRUE,,CHECK,,FALSE,4307 Roma Ct,,Marina Del Rey,CA,90292,Khary Penebaker
AR003864,,,Invoice,,08/01/2025,Open,NET30,08/31/2025,"3,277.51",0.00,"3,277.51",0.00,0.00,,11100,"Milwaukee, WI",BA022543,Drake Enterprise LLC,Floyd McKinley,,,X,,,,,4747 W Bradley Rd,,Brown Deer,WI,53223,TRUE,drake414.llc@gmail.com,CHECK,,FALSE,4747 W Bradley Rd,,Brown Deer,WI,53223,Megan Block
AR003859,,,Invoice,PF001672,08/14/2025,Open,NET 5,08/19/2025,"29,176.00",0.00,"29,176.00",0.00,0.00,,11100,"Milwaukee, WI",BA023294,"Moerke Display & Mfg. Co., Inc.",Ray Hollnagel,,,PR00051481,06/29/2025,In Production,,,21036 Northcape St,,Union Grove,WI,53182,TRUE,bobm@moerkedisplay.com,CHECK,,FALSE,21036 Northcape St,,Union Grove,WI,53182,Megan Block
AR003848,,,Invoice,,08/01/2025,Closed,NET 5,08/06/2025,300.00,0.00,0.00,0.00,0.00,08/04/2025,11102,"Clifton, NJ",BA012543,FRIENDWELL MANAGEMENT GROUP LLC,Todd Parsons,,,X,,,,,222 bergen Blvd.,,Fairview,NJ,7022,FALSE,retailinvoices@friendwell.com,CHECK,,FALSE,2035 Lincoln Hwy #2150,,Edison,NJ,8817,Katelyn DiMaria
AR003846,,,Invoice,PF001657,08/11/2025,Open,NET60,10/10/2025,"1,557.73",0.00,"1,557.73",0.00,0.00,,11125,RRA National LLC,BA002066,161996 National Roofing Partners,Khary Penebaker,TRUE,,PR00051811,08/01/2025,Complete/Job Ready to Cost,Billed in Full,,"1501 West Zellman Court Milwaukee , WI  53221 USA",,Milwaukee,WI,53221,TRUE,accounting@rlnrp.com,FEDWIRE,,FALSE,621 TX-121 #400,,Coppell,TX,75019,Khary Penebaker
AR003845,,,Invoice,PF001656,08/11/2025,Open,NET 5,08/16/2025,"5,079.73",0.00,"5,079.73",0.00,0.00,,11100,"Milwaukee, WI",BA022820,Glacier Transit & Storage,Steven Krause,TRUE,,PR00051702,07/18/2025,Complete/Job Ready to Cost,Billed in Full,,314 E Clifford St,,Plymouth,WI,53073,FALSE,mkroeplien@glacier-gts.com,CHECK,,FALSE,404 Schwartz St,,Plymouth,WI,53073,Megan Block
AR003844,,,Invoice,PF001655,08/08/2025,Open,NET15,08/23/2025,"3,556.71",0.00,"3,556.71",0.00,0.00,,11100,"Milwaukee, WI",BA021657,A A Thread Seal Tape Co,,TRUE,,PR00045492,07/08/2024,Job Complete,,,1275 Kyle Ct,,Wauconda,IL,60084,TRUE,,CHECK,,FALSE,1275 Kyle Ct,,Wauconda,IL,60084,Megan Block
AR003843,,,Invoice,PF001654,08/08/2025,Open,NET 5,08/13/2025,"117,290.34",0.00,"117,290.34",0.00,0.00,,11101,"Saginaw, TX",BA011884,Champion Homes of Mansfield,Jordan Marshall,,,PR00050985,07/13/2025,Job Complete,,,606 S 2nd Ave,,Mansfield,TX,76063,TRUE,,CHECK,,FALSE,606 S 2nd Ave,,Mansfield,TX,76063,Megan Block
AR003842,,,Invoice,PF001653,08/08/2025,Open,NET 5,08/13/2025,"1,430.00",0.00,"1,430.00",0.00,0.00,,11100,"Milwaukee, WI",BA019179,International Autos Milwaukee,Adam Hickmann,TRUE,,PR00051792,07/31/2025,Complete/Job Ready to Cost,,,10221 W Arthur Ave,,West Allis,WI,53227,TRUE,pmorawski@iamilwaukee.com,CHECK,,FALSE,2400 South 108th Street,,West Allis,WI,53227,Megan Block
AR003841,,,Invoice,PF001652,08/08/2025,Open,NET 5,08/13/2025,917.97,0.00,917.97,0.00,0.00,,11100,"Milwaukee, WI",BA002261,2000 Development Corporation,Steven Krause,TRUE,,PR00051791,07/31/2025,Complete/Job Ready to Cost,,,W24 W23750 Watertown Road Suite B,,Pewaukee,WI,53072,TRUE,bsievert@2000dc.com,CHECK,,FALSE,17280 W. North Ave.,,Brookfield,WI,53045,Megan Block
AR003840,,,Invoice,PF001651,08/08/2025,Open,NET 5,08/13/2025,"1,345.62",0.00,"1,345.62",0.00,0.00,,11100,"Milwaukee, WI",BA022717,West Bend Cinema,Paul Brissman,TRUE,,PR00051748,07/28/2025,Complete/Job Ready to Cost,,,2014 Parkway Dr,,West Bend,WI,53095,TRUE,westbendcinema@att.net,CHECK,,FALSE,2014 Parkway Dr,,West Bend,WI,53095,Megan Block
AR003839,,,Invoice,PF001650,08/08/2025,Open,NET 5,08/13/2025,"2,626.97",0.00,"2,626.97",0.00,0.00,,11100,"Milwaukee, WI",BA006011,Chicago Processed Fruit Group,Paul Brissman,TRUE,,PR00051727,07/22/2025,Complete/Job Ready to Cost,,,6280 W Howard St,,Niles,IL,60714,TRUE,,CHECK,,FALSE,6280 W Howard St,,Niles,IL,60714,Megan Block
AR003838,,,Invoice,PF001649,08/08/2025,Open,NET 5,08/13/2025,949.83,0.00,949.83,0.00,0.00,,11100,"Milwaukee, WI",BA005825,Coakley Brothers,Paul Brissman,TRUE,,PR00051827,08/04/2025,Complete/Job Ready to Cost,,,1000 W Bruce St,,Milwaukee,WI,53204,TRUE,,CHECK,,FALSE,400 S 5th St,,Milwaukee,WI,53204,Megan Block
AR003837,,,Invoice,PF001648,08/08/2025,Open,NET30,09/07/2025,"11,500.00",0.00,"11,500.00",0.00,0.00,,11100,"Milwaukee, WI",BA022565,Bukacek Construction,Khary Penebaker,,,PR00051701,07/18/2025,Complete/Job Ready to Cost,,,2330 Chicory Rd,,Racine,WI,53403,TRUE,ap@bukacek.com,CHECK,,FALSE,2429 Summit Avenue,,Racine,WI,53404-2198,Megan Block
AR003836,,,Invoice,PF001647,08/08/2025,Open,NET 5,08/13/2025,"1,339.00",0.00,"1,339.00",0.00,0.00,,11100,"Milwaukee, WI",BA010647,San Giorgio Pizzeria,Adam Hickmann,TRUE,,PR00051487,06/25/2025,Complete/Job Ready to Cost,,,838 N Old World 3rd St,,Milwaukee,WI,53203,TRUE,,CHECK,,FALSE,838 N Old World 3rd St,,Milwaukee,WI,53203,Megan Block
AR003835,,,Invoice,PF001646,08/08/2025,Open,NET 5,08/13/2025,"1,646.81",0.00,"1,646.81",0.00,0.00,,11100,"Milwaukee, WI",BA022820,Glacier Transit & Storage,Steven Krause,TRUE,,PR00051728,07/22/2025,Job Complete,,,617 Laack St.,,Plymouth,WI,53073,TRUE,mkroeplien@glacier-gts.com,CHECK,,FALSE,404 Schwartz St,,Plymouth,WI,53073,Megan Block
AR003834,,,Invoice,PF001645,08/08/2025,Open,NET 5,08/13/2025,767.00,0.00,767.00,0.00,0.00,,11100,"Milwaukee, WI",BA005989,Seal Analytical,Adam Hickmann,,,PR00051511,06/26/2025,Job Complete,,,Seal Analytical,6501 W Donges Bay Rd.,Mequon,WI,53092,TRUE,,CHECK,,FALSE,163986 Seal Analytical,,,,,Megan Block
AR003833,,,Invoice,PF001644,08/08/2025,Open,NET 5,08/13/2025,"2,175.94",0.00,"2,175.94",0.00,0.00,,11100,"Milwaukee, WI",BA023510,Parkview Property Holdings LLC,Steven Krause,TRUE,,PR00051541,06/30/2025,Job Complete,,,2365 S. 170th St.,,New Berlin,WI,53151-0283,TRUE,CSchreib@toolrite.com,CHECK,,FALSE,PO Box 510283,,New Berlin,WI,53151-0283,Megan Block
AR003832,,,Invoice,PF001643,08/08/2025,Open,NET 5,08/13/2025,"1,852.52",0.00,"1,852.52",0.00,0.00,,11100,"Milwaukee, WI",BA005306,"ThermTech Of Waukesha, Inc.",Steven Krause,TRUE,,PR00051626,07/11/2025,Job Complete,,,301 Travis Ln,,Waukesha,WI,53189,TRUE,,CHECK,,FALSE,301 Travis Ln,,Waukesha,WI,53189,Megan Block
AR003831,,,Invoice,PF001642,08/08/2025,Open,NET 5,08/13/2025,500.00,0.00,500.00,0.00,0.00,,11100,"Milwaukee, WI",BA008757,Fast Rite International Inc,Scott Martin,,,PR00051729,07/22/2025,,,,1739 Paul Ave,,Glendale Heights,IL,60139,TRUE,,CHECK,,FALSE,1739 Paul Ave,,Glendale Heights,IL,60139,Megan Block
AR003830,,,Invoice,PF001641,08/08/2025,Open,NET 5,08/13/2025,"11,000.00",0.00,"11,000.00",0.00,0.00,,11100,"Milwaukee, WI",BA023031,Wireformers Inc,Floyd McKinley,,,PR00051099,06/10/2025,Substantially Complete,,,500 Carboy Rd,,Mt Prospect,IL,60056,TRUE,info@wireformers.com,CHECK,,FALSE,500 Carboy Rd,,Mt Prospect,IL,60056,Megan Block
AR003829,,,Invoice,PF001640,08/08/2025,Open,NET 5,08/13/2025,"33,607.57",0.00,"33,607.57",0.00,0.00,,11100,"Milwaukee, WI",BA023031,Wireformers Inc,Floyd McKinley,,,PR00051099,06/10/2025,Substantially Complete,,,500 Carboy Rd,,Mt Prospect,IL,60056,TRUE,info@wireformers.com,CHECK,,FALSE,500 Carboy Rd,,Mt Prospect,IL,60056,Megan Block
AR003828,,,Invoice,PF001639,08/08/2025,Open,NET 5,08/13/2025,"14,250.00",0.00,"14,250.00",0.00,0.00,,11100,"Milwaukee, WI",BA023259,USPM Group (PNC Bank),Adam Hickmann,,,PR00051231,06/05/2025,Complete/Job Ready to Cost,,,1930 E North Ave,,Milwaukee,WI,53202,TRUE,manager@uspmgroup.com,CHECK,,FALSE,1930 E North Ave,,Milwaukee,WI,53202,Megan Block
AR003827,,,Invoice,PF001638,08/08/2025,Open,NET 5,08/13/2025,"26,558.99",0.00,"26,558.99",0.00,0.00,,11100,"Milwaukee, WI",BA022820,Glacier Transit & Storage,Steven Krause,,,PR00051334,06/30/2025,Job Complete,,08/03/2025,314 Clifford St,,Plymouth,WI,53073,TRUE,mkroeplien@glacier-gts.com,CHECK,,FALSE,404 Schwartz St,,Plymouth,WI,53073,Megan Block
AR003826,,,Invoice,PF001637,08/05/2025,Open,NET 5,08/10/2025,"4,050.00",0.00,"4,050.00",0.00,0.00,,11102,"Clifton, NJ",BA007351,Brookdale Senior Living,Christopher Shields,,,PR00051006,05/22/2025,Job Complete,,05/26/2025,200009 Rosebank Way,,Hagerstown,MD,21742,TRUE,,CHECK,,FALSE,669 Washington St,,Auburn,MA,1501,Megan Block
AR003825,,,Invoice,PF001636,08/07/2025,Open,NET 5,08/12/2025,"6,525.00",0.00,"6,525.00",0.00,0.00,,11100,"Milwaukee, WI",BA023548,Drexel Metals,Khary Penebaker,,,PR00051683,07/17/2025,Complete/Job Ready to Cost,,08/05/2025,100 INDEPENDENCE DRIVE,,CAMP DOUGLAS,WI,54618-5001,TRUE,alaina.lismon@carlisleccm.com,CHECK,,FALSE,29610NetworkPlace,,Chicago,IL,60673-1296,Khary Penebaker
AR003824,,,Invoice,,08/06/2025,Open,NET 5,08/11/2025,21.98,0.00,21.98,0.00,0.00,,11100,"Milwaukee, WI",BA023490,Accurate Roof Management,Khary Penebaker,,,X,,,,,"626 Pine St, Unit D Hartford, WI 53027",,,,,TRUE,dillyn@accurateroofmanagement.com,CHECK,,FALSE,"626 Pine St, Unit D Hartford, WI 53027",,,,,Benjamin Beyersdorf
AR003823,,,Invoice,,08/05/2025,Open,NET 5,08/10/2025,353.12,0.00,52.94,0.00,0.00,,11100,"Milwaukee, WI",BA023490,Accurate Roof Management,Khary Penebaker,,,X,,,,,"626 Pine St, Unit D Hartford, WI 53027",,,,,TRUE,dillyn@accurateroofmanagement.com,CHECK,,FALSE,"626 Pine St, Unit D Hartford, WI 53027",,,,,Benjamin Beyersdorf
AR003822,,,Invoice,,08/05/2025,Closed,NET 5,08/10/2025,127.32,0.00,0.00,0.00,0.00,08/07/2025,11100,"Milwaukee, WI",BA023490,Accurate Roof Management,Khary Penebaker,,,X,,,,,"626 Pine St, Unit D Hartford, WI 53027",,,,,TRUE,dillyn@accurateroofmanagement.com,CHECK,,FALSE,"626 Pine St, Unit D Hartford, WI 53027",,,,,Benjamin Beyersdorf
AR003821,,,Invoice,PF001635,08/07/2025,Open,NET30,09/06/2025,500.00,0.00,500.00,0.00,0.00,,11125,RRA National LLC,BA008738,167471 ROOF CONNECT,Khary Penebaker,TRUE,,PR00051813,08/01/2025,Complete/Job Ready to Cost,,,1574 22nd Avenue Kenosha WI 53140,,Kenosha,WI,53140,TRUE,,CHECK,,FALSE,44 Grant 65,,Sheridan,AR,72150,Khary Penebaker
